ATO_ID,ra,dec
J290.8937+02.0360,290.8937,2.0361
J192.0844-34.3188,192.08444,-34.31881
J321.3879+22.6700,321.38795,22.67008
J321.9643+24.4224,321.96438,24.42246
J312.1946+36.6201,312.19466,36.62013
J312.4018+36.6301,312.40188,36.63013
J287.8507+22.2226,287.8507,22.2226
J066.6694+22.0878,66.66941,22.08782
J287.0720+23.4796,287.072,23.47962
J287.5771+23.6423,287.57718,23.64232
J287.3694+23.9701,287.36948,23.97013
J287.8355+23.1591,287.8355,23.1592
J042.0992+46.7465,42.09922,46.74653
J108.6874-09.9211,108.68747,-9.92116
J279.5273-24.4213,279.5273,-24.4214
J271.3116-21.2986,271.31165,-21.29867
J276.5827+04.7857,276.58274,4.78573
J276.6864+04.8656,276.68644,4.8656
J102.3480+20.1825,102.34804,20.18252
J108.4119-09.9174,108.41191,-9.91745
J108.4038-09.1691,108.40383,-9.16913
J095.4953+14.2362,95.49531,14.23627
J258.9180-12.5806,258.91801,-12.58068
J095.9852+15.1590,95.98529,15.15902
J258.7617-13.8768,258.7617,-13.8768
J095.4624+15.5000,95.4624,15.50008
J095.1862+15.5527,95.18626,15.55279
J102.0978+21.6332,102.09787,21.6333
J279.6367-25.0745,279.63671,-25.07452
J280.2445+00.7470,280.24451,0.74701
J280.5926+00.7774,280.59262,0.77744
J086.8103+44.5796,86.81034,44.57965
J280.0995+01.9167,280.09952,1.91674
J108.6585-10.6294,108.65859,-10.62945
J108.5004-10.6214,108.50043,-10.62148
J108.6680-10.5318,108.66803,-10.53181
J108.6164-10.4855,108.61648,-10.48556
J108.6171-10.9426,108.61718,-10.94262
J108.6180-10.4764,108.61802,-10.47643
J095.7092+16.2069,95.70922,16.20694
J280.7797+02.5692,280.77978,2.56921
J280.0482+02.7272,280.04827,2.72723
J280.1792+02.8253,280.1792,2.8253
J290.4608+04.2284,290.46081,4.22846
J290.3030+04.2394,290.30309,4.2394
J108.5541-11.2149,108.55412,-11.2149
J276.0006+06.8543,276.0006,6.85437
J042.3109+51.9781,42.31097,51.9781
J290.5466+04.3987,290.54661,4.39876
J290.3113+04.0054,290.3113,4.0055
J066.1812+41.3677,66.18124,41.36772
J066.4940+41.4834,66.49402,41.4834
J331.6366+46.5762,331.63669,46.57625
J290.5658+04.5790,290.56582,4.57904
J290.3205+04.6936,290.3205,4.6936
J010.4545+52.3392,10.45456,52.33922
