star_name,shifted_data,period,A0,N,sigma,A1,phi1,A2,phi2,A3,phi3,A4,phi4,A5,phi5,A6,phi6,A7,phi7,A8,phi8,A9,phi9,A10,phi10,A11,phi11,A12,phi12,A13,phi13,A14,phi14,A15,phi15,metallicity
DN Aqr,,0.6337525,11.259,259,0.0196,0.2696,1.7357,0.1306,6.026,0.083,4.1885,0.0508,2.6352,0.0259,1.0924,0.0137,5.9332,0.009,4.5931,0.0077,3.1766,0.0072,1.6377,0.0068,0.014,0.006,4.6479,0.0054,3.0446,0.0045,1.2847,0.0034,5.9128,0.0023,4.2552,-1.36
AA Aql,,0.3617869,11.905,126,0.0221,0.4326,6.2224,0.2362,2.1826,0.152,4.8245,0.1041,1.0346,0.0651,3.6109,0.0463,6.1234,0.0362,2.3476,0.0284,4.8999,0.0218,1.1862,0.0161,3.7262,0.0112,6.2617,0.0078,2.4641,0.0051,4.8649,0.0032,0.9447,0.0022,3.0772,-0.27
V341 Aql,,0.57802054,10.939,530,0.0204,0.423,2.2937,0.2276,0.7027,0.1351,5.6723,0.0989,4.5168,0.0501,3.3801,0.0355,1.7553,0.0272,0.4555,0.0178,5.6574,0.0082,4.0529,0.0072,2.5405,0.0029,1.1927,0.0019,5.68,0.0009,2.2918,0.0024,0.795,0.0025,0.6623,-0.92
X Ari,*,0.65115973,9.597,711,0.0151,0.3391,6.153,0.1627,2.0577,0.1228,4.5886,0.0792,0.8771,0.048,3.5468,0.0229,6.0712,0.0152,2.0778,0.012,4.6602,0.0083,1.2888,0.0052,4.2567,0.0028,1.1771,0.0025,4.4463,0.0022,0.633,0.0018,2.5619,0.0029,5.5274,-2.1
TZ Aur,*,0.3916739,11.947,117,0.0234,0.4508,4.6153,0.2519,5.4445,0.1478,0.3263,0.1005,1.4624,0.0673,2.5694,0.0473,3.6291,0.0332,4.6664,0.0241,5.7161,0.0168,0.4629,0.0134,1.3722,0.0098,2.3182,0.009,3.3463,0.0067,4.6048,0.0048,5.5869,0.0016,6.2297,-0.62
TW Boo,*,0.53227327,11.344,59,0.0192,0.3623,0.6603,0.185,3.5568,0.123,0.5875,0.0772,3.8886,0.0536,0.7536,0.0357,4.0167,0.0218,1.053,0.0118,4.4073,0.0055,1.5509,0.0018,5.3658,0.002,3.7659,0.0032,1.0298,0.0042,4.383,0.0048,1.4214,0.0052,4.744,-1.15
V Cae,,0.570916,12.933,87,0.0109,0.3694,3.8533,0.1747,3.7338,0.1323,3.9218,0.0872,4.1363,0.0587,4.4297,0.0354,4.6317,0.0194,4.9048,0.016,5.0178,0.0105,5.2535,0.0064,5.5144,0.0024,0.0322,0.0026,0.5775,0.0017,1.4936,0.0028,2.3144,0.0024,2.8433,-1.71
IU Car,,0.7371495,11.99,162,0.017,0.3639,4.2181,0.1674,4.6741,0.101,5.1667,0.0684,5.9815,0.0432,0.5701,0.022,1.2653,0.0097,1.8669,0.0046,2.9456,0.0026,3.4787,0.0023,5.2378,0.0015,4.5339,0.0023,5.3795,0.0025,1.585,0.001,2.0312,0.0011,2.5335,-1.57
SS Cnc,,0.367345,12.28,24,0.0141,0.426,0.2813,0.2447,3.0484,0.1308,6.0486,0.0819,2.7673,0.0548,5.7546,0.0375,2.4311,0.026,5.3469,0.0182,1.9182,0.0134,4.7051,0.0107,1.1703,0.0093,3.9415,0.0084,0.4866,0.0076,3.3778,0.0064,6.2523,0.005,2.8625,-0.03
W CVn,*,0.55176012,10.577,399,0.0236,0.3001,2.4078,0.1504,1.1264,0.0903,6.2183,0.0588,5.2673,0.0356,4.2152,0.0192,3.1723,0.0085,2.3091,0.0043,2.2298,0.0056,1.7469,0.0066,0.843,0.0066,6.0475,0.0059,4.9129,0.0047,3.7558,0.0037,2.5594,0.0027,1.3366,-0.91
